token_id,num_sales,last_sale,class,age,genre,origin,latent
1549,0,,Poet,0.25,naa,5Y9U,XR5S
1509,0,,Poet,0.40,naf,BXEE,Y40M
1592,0,,Poet,0.37,ioh,7TA7,LH2V
1564,0,,Poet,0.49,ioh,B4DH,50PW
1567,0,,Poet,0.39,nah,PEAB,XR5S
1550,0,,Poet,0.32,nai,Y60M,H6VZ
1510,0,,Poet,0.21,naa,0GRE,XUZN
1581,0,,Poet,0.25,soa,R763,9VIV
1568,0,,Poet,0.33,ioh,UYFS,OP3R
1566,0,,Poet,0.39,ioh,R99I,4HZ8
1551,0,,Poet,0.35,ion,R44I,Q7L9
1563,0,,Poet,0.23,fes,K6CN,RHOF
1511,0,,Poet,0.53,son,QUO3,H7XY
1582,0,,Poet,0.35,ioh,KXTY,ZJYM
